epoch	loss	acc	lr
0	0.6820289946958442	0.7286324738595014	2e-05
1	0.5937776808117979	0.7632310795506582	2e-05
2	0.5295083688024614	0.7901545087194562	2e-06
3	0.5129354844061859	0.7982116570652502	2e-06
4	0.4889487702635678	0.8087080640729812	2e-06
5	0.4725643355260628	0.8157421533829078	1e-06
6	0.46305990282385323	0.8208060722351159	1e-06
7	0.4540595904251581	0.8247464131505527	1e-06
8	0.44533753082596117	0.8289458694549865	1e-06
